d1;d2;d3;d4;d5;d6;res
138.5929291;133.6600165;123.1097072;5.385164807;16.1245155;10.81665383;-1
50.009999;50.009999;50.009999;0;0;0;-1
97.18538985;14.56021978;27.01851217;109.603832;95.96353474;25.17935662;-1
31.6227766;33.24154028;127.440182;2.236067977;98.2903861;97.59098319;-1
13.03840481;61.13100686;116.1808934;71.30918594;128.7633488;67.11929678;-1
45.17742799;19.6977156;114.3372205;27.29468813;81.3019065;95.52486587;-1
30.52867504;10;134.5362405;36.76955262;104.6518036;141.4213562;-1
12.20655562;24.08318916;114.0219277;18.78829423;102.1763182;95.90099061;-1
5.099019514;91.93475948;26.92582404;94.9210198;25.07987241;82.29823813;-1
27.78488798;22.47220505;102.6157883;6.708203932;95.8018789;92.9569793;-1
11.04536102;125.4950198;13.03840481;133.6600165;17.20465053;116.6747616;-1
44.59820624;45.80392996;140.0071427;9.219544457;95.48298278;95.01578816;-1
49.36598019;16.2788206;81.63332653;34.20526275;118.56222;88.6171541;-1
2.236067977;1.414213562;49.09175083;3;50.009999;50.15974482;-1
121.2641744;101.2373449;110.6797181;20.24845673;31.38470965;25.94224354;-1
124.2014493;114.280357;120.4325537;13.34166406;5.099019514;8.246211251;-1
12.52996409;30.59411708;93.86160024;22.47220505;89.82761268;68.24954212;-1
125.1598977;13.03840481;15.62049935;112.4855546;124.8078523;17.02938637;-1
92.45539465;83.09632964;89.93886813;9.433981132;15;14.56021978;-1
15.65247584;13.03840481;97.5807358;8.062257748;82.8794305;84.89994111;-1
50.009999;49;0;70.71067812;50.009999;49;-1
90.90654542;32.38826948;17.72004515;117.1537451;76.85050423;50.009999;-1
122.2006547;95.13148795;101.8724693;45.39823785;47.12748667;8;-1
102.5524256;75.02666193;98.31073187;44.18144407;6;44.04543109;-1
26.40075756;46.64761516;124.4025723;29;102.0832993;78.10249676;-1
27.20294102;16.76305461;66.75327707;10.44030651;40.04996879;50.24937811;-1
50.009999;50.009999;50.009999;0;0;0;-1
76.47875522;28.31960452;21.26029163;74.41102069;86.58521814;49.49747468;-1
